"primary_key","object_id","product_family_id","product_family_name","product_family_number","laststreameddate","study","study_description","product_or_material_description","study_status","active","stability_study_type","protocol_number","batch_number","manufacture_date","manufacture_location","packaging_site","packaging_date","initiated_site","stability_site","start_date","shelf_life"
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-0404-787a-865e-0250a2250b48-12-$record.itemnumber","01927d09-0404-787a-865e-0250a2250b48","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-202421,CNTO4424-309491-966881C--TV-TEC-155999--TV-FRM-49110-7-0-0171,"4424 Cork FB 20kg RTP G1 50g/L",A,Y,Monitoring,TV-TEC-155999,"966881C",Tue Oct 20 00:00:00 EDT 2020,"Janssen Sciences Ireland (JSI), Cork, Ireland",,,Leiden_API-L,Leiden_API-L,Sat Sep 26 00:00:00 EDT 2020,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-0404-7d67-8af6-2b3b547f287b-12-$record.itemnumber","01927d09-0404-7d67-8af6-2b3b547f287b","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-192279,CNTO4424--309491--946957--TV-TEC-155999--F-2019-13458,"4424 Cork FB 20kg RTP G1 50g/L",A,Y,Monitoring,TV-TEC-155999,"946957",Sat Nov 16 00:00:00 EST 2019,"Janssen Sciences Ireland (JSI), Cork, Ireland",,,Leiden_API-L,Leiden_API-L,Fri Sep 20 00:00:00 EDT 2019,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-0405-7c67-9c43-195cfd40687a-12-$record.itemnumber","01927d09-0405-7c67-9c43-195cfd40687a","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-192504,CNTO4424--444610--KAS57--TV-TEC-162462--TV-FRM-49110-7-0-0073,CNTO 4424 Final Vial Product (FVP) from 15K Scale DS,C,Y,Monitoring,TV-TEC-162462,KAS57,Mon Jan 27 00:00:00 EST 2020,Schaffhausen Pharma,,,Leiden_API-L,Leiden_API-L,Fri Nov 08 00:00:00 EST 2019,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-0406-7f06-8f96-9a1c087a9e4d-12-$record.itemnumber","01927d09-0406-7f06-8f96-9a1c087a9e4d","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-221245,JNJ6372 CNTO4424 High Titre Gen 2 DS MM#DS02541020 Lot#0000064824 TV-TEC-233625,JNJ-61186372 Amivantamab 160 mg/mL,A,Y,Pull & Freeze,TEC-233625,"0000064824",Wed Jun 01 00:00:00 EDT 2022,WuXi Biologics,,,Cork_API-L,Cork_API-L,Wed Jun 01 01:00:00 EDT 2022,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-07e1-7586-ab45-7ac759161518-12-$record.itemnumber","01927d09-07e1-7586-ab45-7ac759161518","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-181251,CNTO4424 (JNJ6372) FVP MM#128388_FormC LOT#128388_FormC DS-TEC-129479,JNJ 61186372 (CNTO4424) FVP Form C: 380mg/vial,X,Y,Monitoring,TEC-129479,"128388_FormC",Thu May 24 00:00:00 EDT 2018,Malvern_API-L,,,Cork_API-L,Cork_API-L,Thu May 24 01:00:00 EDT 2018,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-0835-7a05-a0d9-0ac455e42e2b-12-$record.itemnumber","01927d09-0835-7a05-a0d9-0ac455e42e2b","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-181246,CNTO4424 (JNJ6372) FVP MM#128388_Form A LOT#128388_Form A DS-TEC-129467,JNJ 61186372 (CNTO4424) FVP Form A: 375mg/vial,X,Y,Monitoring,TEC-129467,"128388_Form A",Thu May 24 00:00:00 EDT 2018,Malvern_API-L,,,Cork_API-L,Cork_API-L,Thu May 24 01:00:00 EDT 2018,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-0881-7b56-af87-d18c9113a7fc-12-$record.itemnumber","01927d09-0881-7b56-af87-d18c9113a7fc","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-191190,CNTO4424 DS MM#309278 LOT#938744C DS-TEC-132768,JNJ-61186372,A,Y,Monitoring,TEC-132768,"938744C",Wed Jun 12 00:00:00 EDT 2019,Cork_API-L,,,Cork_API-L,Cork_API-L,Tue Jun 12 01:00:00 EDT 2018,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-0897-7070-818b-f1a895372c4b-12-$record.itemnumber","01927d09-0897-7070-818b-f1a895372c4b","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-191571,CNTO4424 DS MM#309278 LOT#940809C DS-TEC-132768,JNJ-61186372,A,Y,Monitoring,TEC-132768,"940809C",Sun Jul 28 00:00:00 EDT 2019,Cork_API-L,,,Cork_API-L,Cork_API-L,Sun Jul 28 01:00:00 EDT 2019,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-089d-7343-8ede-309ee4210ca5-12-$record.itemnumber","01927d09-089d-7343-8ede-309ee4210ca5","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-191664,CNTO4424 DS MM#309278 LOT#941616C DS-TEC-132768,JNJ-61186372,A,Y,Monitoring,TEC-132768,"941616C",Thu Aug 08 00:00:00 EDT 2019,Cork_API-L,,,Cork_API-L,Cork_API-L,Thu Aug 08 01:00:00 EDT 2019,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-08a8-7788-9605-e904d5274a26-12-$record.itemnumber","01927d09-08a8-7788-9605-e904d5274a26","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-192114,CNTO4424 DS MM#309278 LOT#945222C DS-TEC-132768,JNJ-61186372,A,Y,Monitoring,TEC-132768,"945222C",Fri Oct 11 00:00:00 EDT 2019,Cork_API-L,,,Cork_API-L,Cork_API-L,Fri Oct 11 01:00:00 EDT 2019,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-08a9-7879-bd1a-4832302f8b09-12-$record.itemnumber","01927d09-08a9-7879-bd1a-4832302f8b09","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-192238,CNTO4424 MM#309278 LOT#941616C DS-TEC-139777 FREEZE-THAW,JNJ-61186372,A,Y,Freeze-Thaw Study,TEC-139777,"941616C",Thu Aug 08 00:00:00 EDT 2019,Cork_API-L,,,Cork_API-L,Cork_API-L,Thu Aug 08 01:00:00 EDT 2019,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-08b6-7895-b9fb-a869b66d3d2d-12-$record.itemnumber","01927d09-08b6-7895-b9fb-a869b66d3d2d","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-192108, CNTO4424 DS MM#309491 Lot#944549C DS-TEC-132768,"4424 Cork FB 20kg RTP G1 50g/L",A,Y,Monitoring,TEC-132768,"944549C",Sat Sep 28 00:00:00 EDT 2019,Cork_API-L,,,Cork_API-L,Cork_API-L,Sat Sep 28 01:00:00 EDT 2019,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-08c3-7fba-97c5-f948a5827d56-12-$record.itemnumber","01927d09-08c3-7fba-97c5-f948a5827d56","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-192224,CNTO4424 DS MM#309278 LOT#946262C DS-TEC-132768,JNJ-61186372,A,Y,Monitoring,TEC-132768,"946262C",Thu Oct 31 00:00:00 EDT 2019,Cork_API-L,,,Cork_API-L,Cork_API-L,Thu Oct 31 01:00:00 EDT 2019,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-08c5-79c1-a4a3-b03c6759b832-12-$record.itemnumber","01927d09-08c5-79c1-a4a3-b03c6759b832","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-192265,CNTO4424 DS MM#309278 LOT#946661C DS-TEC-132768,JNJ-61186372,A,Y,Monitoring,TEC-132768,"946661C",Wed Nov 06 00:00:00 EST 2019,Cork_API-L,,,Cork_API-L,Cork_API-L,Wed Nov 06 01:00:00 EST 2019,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-08d8-72e9-bbff-abd27011d8b1-12-$record.itemnumber","01927d09-08d8-72e9-bbff-abd27011d8b1","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-211960,JNJ6372 CNTO4424 SubQ DS MM#309890 Lot#984292C TV-TEC-180527,"4424 Cork CLIN FB 8kg RTP G1 160g/L",A,Y,Monitoring,TEC-180527,"984292C",Wed Aug 18 00:00:00 EDT 2021,Cork_API-L,,,Cork_API-L,Cork_API-L,Wed Aug 18 01:00:00 EDT 2021,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-090d-738d-a08c-32cc9ce4368a-12-$record.itemnumber","01927d09-090d-738d-a08c-32cc9ce4368a","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-201792,JNJ-61186372 CNTO4424 (FB) Batch#962958 MM#309890 TV-TEC-180527,"4424 Cork CLIN FB 8kg RTP G1 160g/L",X,Y,Monitoring,TEC-180527,"962958",Wed Aug 19 00:00:00 EDT 2020,Cork_API-L,,,Cork_API-L,Cork_API-L,Wed Aug 19 01:00:00 EDT 2020,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-0914-716e-82aa-983502e28a01-12-$record.itemnumber","01927d09-0914-716e-82aa-983502e28a01","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-201906,JNJ6372 CNTO4424 FB/DS MM#309890 Lot#963823 TV-TEC-180527,"4424 Cork CLIN FB 8kg RTP G1 160g/L",A,Y,Monitoring,TEC-180527,"963823",Wed Sep 02 00:00:00 EDT 2020,Cork_API-L,,,Cork_API-L,Cork_API-L,Wed Sep 02 01:00:00 EDT 2020,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-0917-7f9e-b577-fa6aee3a9a34-12-$record.itemnumber","01927d09-0917-7f9e-b577-fa6aee3a9a34","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-201860,JNJ-61186372 CNTO4424 (FB) Batch#963452 MM#309890 TV-TEC-180527,"4424 Cork CLIN FB 8kg RTP G1 160g/L",A,Y,Monitoring,TEC-180527,"963452",Thu Aug 27 00:00:00 EDT 2020,Cork_API-L,,,Cork_API-L,Cork_API-L,Thu Aug 27 01:00:00 EDT 2020,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-091b-7563-9dcc-e2d3071c9793-12-$record.itemnumber","01927d09-091b-7563-9dcc-e2d3071c9793","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-202046,CNTO 4424 DS Lot#964997C MM#309491 TV-TEC-161719,"4424 Cork FB 20kg RTP G1 50g/L",A,Y,Monitoring,TEC-161719,"964997C",Fri Sep 25 00:00:00 EDT 2020,Cork_API-L,,,Cork_API-L,Cork_API-L,Fri Sep 25 01:00:00 EDT 2020,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-0932-7a12-8163-0d184c5af5a4-12-$record.itemnumber","01927d09-0932-7a12-8163-0d184c5af5a4","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-210025,JNJ-61186372 (CNTO4424 SubQ) MM#309890 LOT#970818 TV-TEC-180527,"4424 Cork CLIN FB 8kg RTP G1 160g/L",A,Y,Monitoring,TEC-180527,"970818",Mon Jan 04 00:00:00 EST 2021,Cork_API-L,,,Cork_API-L,Cork_API-L,Mon Jan 04 01:00:00 EST 2021,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-093d-7ee6-a4de-742ca058325b-12-$record.itemnumber","01927d09-093d-7ee6-a4de-742ca058325b","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-210273,JNJ-6372 (CNTO4424 SubQ) FB MM#309890 LOT#973080 TV-TEC-180527,"4424 Cork CLIN FB 8kg RTP G1 160g/L",A,Y,Monitoring,TEC-180527,"973080",Sat Feb 13 00:00:00 EST 2021,Cork_API-L,,,Cork_API-L,Cork_API-L,Sat Feb 13 01:00:00 EST 2021,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-0944-7e5b-a875-69f89c1c451c-12-$record.itemnumber","01927d09-0944-7e5b-a875-69f89c1c451c","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-210736,JNJ6372 DS MM#309890 LOT#976490C TV-TEC-180527,"4424 Cork CLIN FB 8kg RTP G1 160g/L",A,Y,Pull & Freeze,TEC-180527,"976490C",Mon Apr 19 00:00:00 EDT 2021,Cork_API-L,,,Cork_API-L,Cork_API-L,Mon Apr 19 01:00:00 EDT 2021,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-094e-726a-9b6e-0276ef366ccf-12-$record.itemnumber","01927d09-094e-726a-9b6e-0276ef366ccf","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-191627,CNTO4424 DS MM#309278 LOT#941602C DS-TEC-132768,JNJ-61186372,A,Y,Monitoring,TEC-132768,"941602C",Sat Aug 03 00:00:00 EDT 2019,Cork_API-L,,,Cork_API-L,Cork_API-L,Sat Aug 03 01:00:00 EDT 2019,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-0952-72ee-b037-a522de44a80e-12-$record.itemnumber","01927d09-0952-72ee-b037-a522de44a80e","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-210957,JNJ6372 FB MM#309890 LOT#977576 TV-TEC-180527,"4424 Cork CLIN FB 8kg RTP G1 160g/L",A,Y,Monitoring,TEC-180527,"977576C",Sat May 08 00:00:00 EDT 2021,Cork_API-L,,,Cork_API-L,Cork_API-L,Sat May 08 01:00:00 EDT 2021,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-0967-7acc-be18-9a8fe995cc2a-12-$record.itemnumber","01927d09-0967-7acc-be18-9a8fe995cc2a","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-221232,JNJ6372 CNTO4424 SubQ (HC-Gen 1) DS MM#309890 Lot#335443C TV-TEC-180527,"4424 Cork CLIN FB 8kg RTP G1 160g/L",A,Y,Pull & Freeze,TEC-180527,"335443C",Wed Jun 29 00:00:00 EDT 2022,"Janssen Sciences Ireland UC, Cork",,,Cork_API-L,Cork_API-L,Wed Jun 29 01:00:00 EDT 2022,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-0970-71f9-8ab2-141cfda0fd09-12-$record.itemnumber","01927d09-0970-71f9-8ab2-141cfda0fd09","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-212048,JNJ6372 CNTO4424 FB MM#309890 LOT#985099C TV-TEC-180527,"4424 Cork CLIN FB 8kg RTP G1 160g/L",A,Y,Pull & Freeze,TEC-180527,"985099C",Wed Sep 01 00:00:00 EDT 2021,Cork_API-L,,,Cork_API-L,Cork_API-L,Wed Sep 01 01:00:00 EDT 2021,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-097d-7254-b2ad-e129d3ef06e8-12-$record.itemnumber","01927d09-097d-7254-b2ad-e129d3ef06e8","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-212008,JNJ6372 CNTO4424 FB MM#309890 LOT#984861C TV-TEC-180527,"4424 Cork CLIN FB 8kg RTP G1 160g/L",A,Y,Pull & Freeze,TEC-180527,"984861C",Tue Aug 24 00:00:00 EDT 2021,Cork_API-L,,,Cork_API-L,Cork_API-L,Tue Aug 24 01:00:00 EDT 2021,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-0988-7c38-9822-851dae526e15-12-$record.itemnumber","01927d09-0988-7c38-9822-851dae526e15","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-212403,JNJ6372 CNTO4424 FB MM#309890 LOT#989238C TV-TEC-180527,"4424 Cork CLIN FB 8kg RTP G1 160g/L",A,Y,Pull & Freeze,TEC-180527,"989238C",Thu Nov 04 00:00:00 EDT 2021,Cork_API-L,,,Cork_API-L,Cork_API-L,Thu Nov 04 01:00:00 EDT 2021,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-09a7-73eb-9eef-fa8c90f0657a-12-$record.itemnumber","01927d09-09a7-73eb-9eef-fa8c90f0657a","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-221272,JNJ6372 CNTO4424 Sub Q DS MM#309890 Lot#335713C TV-TEC-180527,"4424 Cork CLIN FB 8kg RTP G1 160g/L",S,Y,On-Station,TEC-180527,"335713C",Tue Jul 05 00:00:00 EDT 2022,Cork_API-L,,,Cork_API-L,Cork_API-L,Tue Jul 05 01:00:00 EDT 2022,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-09a8-7227-80e9-715314ab58fa-12-$record.itemnumber","01927d09-09a8-7227-80e9-715314ab58fa","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-220068,JNJ6372 CNTO4424 SubQ DS MM#309890 LOT#323938C TV-TEC-180527,"4424 Cork CLIN FB 8kg RTP G1 160g/L",A,Y,Pull & Freeze,TEC-180527,"323938C",Wed Jan 12 00:00:00 EST 2022,Cork_API-L,,,Cork_API-L,Cork_API-L,Wed Jan 12 01:00:00 EST 2022,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-09af-7c30-86e8-3a7a1159053b-12-$record.itemnumber","01927d09-09af-7c30-86e8-3a7a1159053b","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-220949,JNJ6372 CNTO4424 Sub Q DS MM#309890 LOT#333407C  TV-TEC-180527,"4424 Cork CLIN FB 8kg RTP G1 160g/L",S,Y,On-Station,TEC-180527,"333407C",Sun May 29 00:00:00 EDT 2022,Cork_API-L,,,Cork_API-L,Cork_API-L,Sun May 29 01:00:00 EDT 2022,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-09b2-7509-be35-aba7944a843e-12-$record.itemnumber","01927d09-09b2-7509-be35-aba7944a843e","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-221039,JNJ6372 CNTO4424 Sub Q DS MM#309890 LOT#334143C TV-TEC-180527,"4424 Cork CLIN FB 8kg RTP G1 160g/L",S,Y,On-Station,TEC-180527,"334143C",Sun Jun 05 00:00:00 EDT 2022,Cork_API-L,,,Cork_API-L,Cork_API-L,Sun Jun 05 01:00:00 EDT 2022,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-09b3-7292-88c0-4580ad8493dc-12-$record.itemnumber","01927d09-09b3-7292-88c0-4580ad8493dc","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-221109,JNJ6372 CNTO4424 Sub Q DS MM#309890 LOT#334515C TV-TEC-180527,"4424 Cork CLIN FB 8kg RTP G1 160g/L",S,Y,On-Station,TEC-180527,"334515C",Fri Jun 10 00:00:00 EDT 2022,Cork_API-L,,,Cork_API-L,Cork_API-L,Fri Jun 10 01:00:00 EDT 2022,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-09b5-763e-8298-3867b8db3523-12-$record.itemnumber","01927d09-09b5-763e-8298-3867b8db3523","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-221147,JNJ6372 CNTO4424 Sub Q DS MM#309890 LOT#334602C TV-TEC-180527,"4424 Cork CLIN FB 8kg RTP G1 160g/L",S,Y,On-Station,TEC-180527,"334602C",Thu Jun 16 00:00:00 EDT 2022,Cork_API-L,,,Cork_API-L,Cork_API-L,Thu Jun 16 01:00:00 EDT 2022,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-09b8-7c2f-803b-0eedb33c50be-12-$record.itemnumber","01927d09-09b8-7c2f-803b-0eedb33c50be","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-220928,JNJ6372 CNTO4424 Sub Q DS MM#309890 LOT#333211C TV-TEC-180527,"4424 Cork CLIN FB 8kg RTP G1 160g/L",S,Y,On-Station,TEC-180527,"333211C",Tue May 24 00:00:00 EDT 2022,Cork_API-L,,,Cork_API-L,Cork_API-L,Tue May 24 01:00:00 EDT 2022,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-09bc-738e-b698-474f93f7ae04-12-$record.itemnumber","01927d09-09bc-738e-b698-474f93f7ae04","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-221169,JNJ6372 CNTO4424 Sub Q DS MM#309890 LOT#334943C TV-TEC-180527,"4424 Cork CLIN FB 8kg RTP G1 160g/L",S,Y,On-Station,TEC-180527,"334943C",Wed Jun 22 00:00:00 EDT 2022,Cork_API-L,,,Cork_API-L,Cork_API-L,Wed Jun 22 01:00:00 EDT 2022,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-09c9-765a-8e93-d21cbb0bd63b-12-$record.itemnumber","01927d09-09c9-765a-8e93-d21cbb0bd63b","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-221620,JNJ6372 CNTO4424 High Titre Gen 2 DS MM#DS02541020 Lot#0000071528 TV-TEC-233625,JNJ-61186372 Amivantamab 160 mg/mL,S,Y,On-Station,TEC-233625,"0000071528",Thu Jul 21 00:00:00 EDT 2022,WuXi Biologics,,,Cork_API-L,Cork_API-L,Thu Jul 21 01:00:00 EDT 2022,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-09cb-77c7-af29-5c38f47bdae7-12-$record.itemnumber","01927d09-09cb-77c7-af29-5c38f47bdae7","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-221812,JNJ6372 CNTO4424 Sub Q DS MM#309890 Lot#341932C TV-TEC-180527,"4424 Cork CLIN FB 8kg RTP G1 160g/L",S,Y,On-Station,TEC-180527,"341932C",Fri Sep 23 00:00:00 EDT 2022,Cork_API-L,,,Cork_API-L,Cork_API-L,Fri Sep 23 01:00:00 EDT 2022,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-09cc-7f0f-ae49-b453c536f3bc-12-$record.itemnumber","01927d09-09cc-7f0f-ae49-b453c536f3bc","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-221535,JNJ-6372 CNTO 4424 Sub Q FVP MM# 445329 Lot#MGS3N TV-TEC-217733,JNJ-61186372 clinical FVP High Volume Fill 14.0mL,S,Y,On-Station,TEC-217733,MGS3N,Wed Jul 20 00:00:00 EDT 2022,Schaffhausen Pharma,,,Cork_API-L,Cork_API-L,Wed Jul 20 01:00:00 EDT 2022,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-09d0-7d76-8c17-63609aa62900-12-$record.itemnumber","01927d09-09d0-7d76-8c17-63609aa62900","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-221545,JNJ-6372 CNTO 4424 Sub Q FVP MM# 445383 Lot#MGS46 TV-TEC-236120,"JNJ-61186372 (amivantamab) SubQ Ph3, Gen2 (2000L) FVP 25R vial",S,Y,On-Station,TEC-236120,MGS46,Fri Jul 29 00:00:00 EDT 2022,Schaffhausen Pharma,,,Cork_API-L,Cork_API-L,Fri Jul 29 01:00:00 EDT 2022,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-09d4-7497-bd1c-25527f8f7382-12-$record.itemnumber","01927d09-09d4-7497-bd1c-25527f8f7382","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-221443,JNJ6372 CNTO4424 High Titre Gen 2 DS MM#DS02541020 Lot#0000067759 TV-TEC-233625,JNJ-61186372 Amivantamab 160 mg/mL,S,Y,On-Station,TEC-233625,"0000067759",Tue Jun 28 00:00:00 EDT 2022,WuXi Biologics,,,Cork_API-L,Cork_API-L,Tue Jun 28 01:00:00 EDT 2022,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-09d6-7601-b6f5-dcd1f5d947f2-12-$record.itemnumber","01927d09-09d6-7601-b6f5-dcd1f5d947f2","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-221362,JNJ6372 CNTO4424 SubQ (HC-Gen 1) DS MM#309890 Lot#336540C TV-TEC-180527,"4424 Cork CLIN FB 8kg RTP G1 160g/L",A,Y,Pull & Freeze,TEC-180527,"336540C",Mon Jul 18 00:00:00 EDT 2022,Cork_API-L,,,Cork_API-L,Cork_API-L,Mon Jul 18 01:00:00 EDT 2022,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-09db-702e-aa86-8d5d6bbc0abb-12-$record.itemnumber","01927d09-09db-702e-aa86-8d5d6bbc0abb","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-221427,JNJ6372 CNTO4424 High Titre Gen 2 DS MM#DS02541020 Lot#0000067758 TV-TEC-233625,JNJ-61186372 Amivantamab 160 mg/mL,S,Y,On-Station,TEC-233625,"0000067758",Mon Jun 20 00:00:00 EDT 2022,WuXi Biologics,,,Cork_API-L,Cork_API-L,Mon Jun 20 01:00:00 EDT 2022,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-09e0-772a-b2c8-b9d1b7d66884-12-$record.itemnumber","01927d09-09e0-772a-b2c8-b9d1b7d66884","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-222078,JNJ6372 CNTO4424 DS MM#310746 Lot#343846C TV-TEC-241314,"4424 Cork CLIN FB 65kg RTP G1 160g/L",A,Y,Monitoring,TEC-241314,"343846C",Wed Nov 02 00:00:00 EDT 2022,Cork_API-L,,,Cork_API-L,Cork_API-L,Wed Nov 02 01:00:00 EDT 2022,
